ton;51;nom_sup
salon;51;nom
rieux;51;adj
paterson;51;nr
luces;50;nr
lantures;50;nr
thã;49;nr
bouche;49;nom
appeler;49;ver
minute;48;nom
chaque;48;adj_ind
bout;48;nom
servir;47;ver
plein;47;adj
lorsque;47;con
dame;47;nom
tour;46;nom
seulement;46;adv
passã;46;nr
jouer;46;ver
eh;46;ono
doute;46;nom
cinq;46;adj_num
asseoir;46;ver
smith;45;nr
lancester;45;nr
gens;45;nom
garã;45;nr
descendre;45;ver
assez;45;adv_sup
an;45;nom_sup
street;44;nr
sir;44;nom
pensã;44;nr
part;44;nom
nuit;44;nom
nos;44;adj_pos
frapper;44;ver
docteur;44;nom
salle;43;nom
rue;43;nom
oâ;43;nr
nab;43;nr
mal;43;nom_sup
gros;43;adj
vrai;42;adj
toi;42;pro_per
så;42;nr
partie;42;nom
lane;42;nr
honorable;42;adj
demi;42;adj_sup
couvrir;42;ver
vicomte;41;nom
trait;41;nom
tourner;41;ver
peg;41;nr
face;41;nom
charmant;41;adj
alors;41;adv_sup
mouvement;40;nom
mort;40;nom
madge;40;nr
grã;40;nr
chrane;40;nr
chercher;40;ver
chambre;40;nom
aveugle;40;adj
autour;40;adv_sup
ant;40;nr
affaire;40;nom
verre;39;nom
tyrrel;39;nr
rideau;39;nom
prince;39;nom
pousser;39;ver
milieu;39;nom
lorsquâ;39;nr
ge;39;nr
foi;39;nom
feu;39;nom
dix;39;adj_num
charlie;39;nr
arriver;39;ver
vostre;38;nr
tâ;38;nr
six;38;adj_num
noble;38;adj
malheureux;38;adj
fond;38;nom
duc;38;nom
boire;38;ver
bal;38;nom
tempã;37;nr
parmi;37;pre
house;37;nom
burnett;37;nr
trange;36;nr
rance;36;adj
pondre;36;ver
poche;36;nom
or;36;con
lettre;36;nom
devenir;36;ver
corps;36;nom
conduire;36;ver
comprendre;36;ver
brã;36;nr
aise;36;nom
ve;35;nr
toucher;35;ver
quoi;35;pro_rel
marcher;35;ver
honnã;35;nr
fermer;35;ver
entrã;35;nr
donnã;35;nr
bã;35;nr
bishop;35;nom
voici;34;pre
pendant;34;pre
mille;34;adj_num
large;34;adj
intã;34;nr
foule;34;nom
escalier;34;nom
doigt;34;nom
auprã;34;nr
quant;33;nom_sup
pourtant;33;adv_sup
poursuivre;33;ver
niã;33;nr
froid;33;adj
fiacre;33;nom
espã;33;nr
esprit;33;nom
coquin;33;nom
celui;33;pro_dem
agir;33;ver
soi;32;pro_per
prononã;32;nr
partir;32;ver
misã;32;nr
loin;32;adv_sup
inconnu;32;nom
guinã;32;nr
gin;32;nom
fin;32;nom
drã;32;nr
droit;32;nom
comment;32;con
cent;32;adj_num
besoin;32;nom
souvent;31;adv_sup
saluer;31;ver
retirer;31;ver
pourquoi;31;con
effet;31;nom
beaucoup;31;adv_sup
approcher;31;ver
and;31;nr
the;30;nr
seconde;30;nom
poitrine;30;nom
permettre;30;ver
parfois;30;adv_sup
pardieu;30;ono
parce_que;30;con
oui;30;adv_sup
mystã;30;nr
doux;30;adj
dessus;30;adv_sup
degrã;30;nr
compagnon;30;nom
but;30;nom
abord;30;nom
tresse;29;nom
taverne;29;nom
quitter;29;ver
piã;29;nr
moyen;29;nom
fou;29;adj
durement;29;adv
continuer;29;ver
colã;29;nr
cheveu;29;nom
che;29;nr
celui_ci;29;pro_dem
ceci;29;pro_dem
bâ;29;nr
bonheur;29;nom
tres;28;nr
suivant;28;pre
saisir;28;ver
rement;28;nr
quatre;28;adj_num
paules;28;nr
passion;28;nom
monter;28;ver
lanã;28;nr
gauche;28;nom
force;28;adj_ind
faã;28;nr
couronne;28;nom
commenã;28;nr
causer;28;ver
battre;28;ver
aussitã;28;nr
aperã;28;nr
anglais;28;nom
ais;28;nom
tuer;27;ver
taille;27;nom
retourner;27;ver
quel;27;adj_int
poã;27;nr
ordinaire;27;adj
larme;27;nom
faible;27;adj
derniã;27;nr
cacher;27;ver
bientã;27;nr
vres;26;nr
secret;26;nom
profond;26;adj
nature;26;nom
hasard;26;nom
fils;26;nom
fenã;26;nr
eux;26;pro_per
effort;26;nom
doucement;26;adv
complã;26;nr
chacun;26;pro_ind
beautã;26;nr
arme;26;nom
apprendre;26;ver
trembler;25;ver
terrible;25;adj
tat;25;nr
table;25;nom
soupã;25;nr
signe;25;nom
seuil;25;nom
second;25;adj
remettre;25;ver
raison;25;nom
rable;25;nr
pipe;25;nom
passage;25;nom
parer;25;ver
moitiã;25;nr
lire;25;ver
intendant;25;nom
idã;25;nr
heureux;25;adj
durant;25;pre
disparaître;25;ver
demeurer;25;ver
cousin;25;nom
changer;25;ver
caractã;25;nr
ailleurs;25;adv_sup
scã;24;nr
saunie;24;nr
plaã;24;nr
mourir;24;ver
mauvais;24;adj
lumiã;24;nr
lit;24;nom
grommeler;24;ver
goã;24;nr
geste;24;nom
ensuite;24;adv_sup
damner;24;ver
avanã;24;nr
atteindre;24;ver
aimã;24;nr
white;23;nr
vre;23;nr
voiture;23;nom
vaste;23;adj
valet;23;nom
trou;23;nom
ter;23;adv
rieusement;23;nr
riche;23;adj
reã;23;nr
reâ;23;nr
reconnaître;23;ver
puissant;23;adj
mois;23;nom
manquer;23;ver
gagner;23;ver
flã;23;nr
figure;23;nom
fauteuil;23;nom
expression;23;nom
digne;23;adj
demain;23;adv_sup
crã;23;nr
courir;23;ver
chanter;23;ver
cependant;23;con
brusquement;23;adv
baiser;23;ver
valoir;22;ver
ut;22;nom
temple;22;nom
souffrir;22;ver
seigneurie;22;nom
sang;22;nom
saint;22;nom
rieur;22;adj
question;22;nom
poing;22;nom
plaisir;22;nom
physionomie;22;nom
ordre;22;nom
mesure;22;nom
manor;22;nr
essayer;22;ver
emporter;22;ver
cocher;22;nom
chemin;22;nom
